Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Perth-Adelaide,Perth,Adelaide,All Airlines,Oct-13,223,222,1,175,195,47,27,2013,10
Perth-Brisbane,Perth,Brisbane,All Airlines,Oct-13,252,252,0,215,210,37,42,2013,10
Perth-Broome,Perth,Broome,All Airlines,Oct-13,143,141,2,131,129,10,12,2013,10
Perth-Darwin,Perth,Darwin,All Airlines,Oct-13,58,58,0,53,52,5,6,2013,10
Perth-Geraldton,Perth,Geraldton,All Airlines,Oct-13,160,159,1,141,138,18,21,2013,10
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Oct-13,147,144,3,127,129,17,15,2013,10
Perth-Karratha,Perth,Karratha,All Airlines,Oct-13,353,337,16,324,319,13,18,2013,10
Perth-Melbourne,Perth,Melbourne,All Airlines,Oct-13,508,501,7,384,409,117,92,2013,10
Perth-Newman,Perth,Newman,All Airlines,Oct-13,225,223,2,210,210,13,13,2013,10
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Oct-13,230,229,1,216,218,13,11,2013,10
Perth-Sydney,Perth,Sydney,All Airlines,Oct-13,370,368,2,296,316,72,52,2013,10
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Oct-13,230,229,1,211,211,18,18,2013,10
Port Lincoln-Adelaide,Port Lincoln,Adelaide,All Airlines,Oct-13,316,314,2,301,294,13,20,2013,10
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Oct-13,201,200,1,117,94,83,106,2013,10
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Oct-13,85,83,2,66,55,17,28,2013,10
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Oct-13,429,423,6,357,336,66,87,2013,10
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Oct-13,136,124,12,72,63,52,61,2013,10
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Oct-13,149,145,4,99,94,46,51,2013,10
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Oct-13,555,551,4,405,393,146,158,2013,10
Sydney-Albury,Sydney,Albury,All Airlines,Oct-13,290,289,1,201,174,88,115,2013,10
Sydney-Alice Springs,Sydney,Alice Springs,All Airlines,Oct-13,50,50,0,39,40,11,10,2013,10
Sydney-Ayers Rock,Sydney,Ayers Rock,All Airlines,Oct-13,50,50,0,41,37,9,13,2013,10
Sydney-Ballina,Sydney,Ballina,All Airlines,Oct-13,129,129,0,96,94,33,35,2013,10
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Oct-13,1393,1345,48,1053,987,292,358,2013,10
Sydney-Cairns,Sydney,Cairns,All Airlines,Oct-13,306,305,1,243,254,62,51,2013,10
Sydney-Canberra,Sydney,Canberra,All Airlines,Oct-13,891,848,43,660,673,188,175,2013,10
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Oct-13,239,238,1,175,161,63,77,2013,10
Sydney-Darwin,Sydney,Darwin,All Airlines,Oct-13,112,112,0,91,93,21,19,2013,10
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Oct-13,285,281,4,217,193,64,88,2013,10
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Oct-13,842,818,24,647,642,171,176,2013,10
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Oct-13,61,61,0,48,54,13,7,2013,10
Sydney-Hobart,Sydney,Hobart,All Airlines,Oct-13,175,174,1,139,138,35,36,2013,10
Sydney-Launceston,Sydney,Launceston,All Airlines,Oct-13,87,87,0,65,60,22,27,2013,10
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Oct-13,2284,2188,96,1718,1556,470,632,2013,10
Sydney-Perth,Sydney,Perth,All Airlines,Oct-13,373,372,1,296,278,76,94,2013,10
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Oct-13,201,200,1,143,125,57,75,2013,10
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Oct-13,148,146,2,109,113,37,33,2013,10
Sydney-Townsville,Sydney,Townsville,All Airlines,Oct-13,60,60,0,53,51,7,9,2013,10
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Oct-13,255,254,1,203,174,51,80,2013,10
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Oct-13,351,349,2,306,290,43,59,2013,10
Townsville-Cairns,Townsville,Cairns,All Airlines,Oct-13,220,214,6,184,188,30,26,2013,10
Townsville-Sydney,Townsville,Sydney,All Airlines,Oct-13,59,58,1,44,44,14,14,2013,10
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Oct-13,253,252,1,183,180,69,72,2013,10
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Nov-13,244,244,0,211,209,33,35,2013,11
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Nov-13,92,92,0,81,82,11,10,2013,11
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Nov-13,60,60,0,48,49,12,11,2013,11
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Nov-13,713,712,1,609,618,103,94,2013,11
Adelaide-Perth,Adelaide,Perth,All Airlines,Nov-13,201,201,0,180,181,21,20,2013,11
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Nov-13,303,301,2,288,287,13,14,2013,11
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Nov-13,513,506,7,425,417,81,89,2013,11
Albury-Sydney,Albury,Sydney,All Airlines,Nov-13,282,282,0,229,201,53,81,2013,11
Alice Springs-Melbourne,Alice Springs,Melbourne,All Airlines,Nov-13,47,47,0,36,41,11,6,2013,11
Alice Springs-Sydney,Alice Springs,Sydney,All Airlines,Nov-13,47,47,0,34,39,13,8,2013,11
Ayers Rock-Sydney,Ayers Rock,Sydney,All Airlines,Nov-13,47,46,1,34,34,12,12,2013,11
Ballina-Sydney,Ballina,Sydney,All Airlines,Nov-13,110,107,3,65,66,42,41,2013,11
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Nov-13,245,245,0,206,198,39,47,2013,11
Brisbane-Bundaberg,Brisbane,Bundaberg,All Airlines,Nov-13,146,144,2,118,119,26,25,2013,11
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Nov-13,365,361,4,298,290,63,71,2013,11
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Nov-13,273,252,21,209,209,43,43,2013,11
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Nov-13,60,59,1,49,45,10,14,2013,11
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Nov-13,274,259,15,229,180,30,79,2013,11
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Nov-13,349,339,10,284,264,55,75,2013,11
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Nov-13,48,48,0,41,39,7,9,2013,11
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Nov-13,353,342,11,256,244,86,98,2013,11
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Nov-13,1018,1009,9,771,721,238,288,2013,11
Brisbane-Moranbah,Brisbane,Moranbah,All Airlines,Nov-13,226,210,16,180,163,30,47,2013,11
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Nov-13,76,76,0,69,64,7,12,2013,11
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Nov-13,265,259,6,206,189,53,70,2013,11
Brisbane-Perth,Brisbane,Perth,All Airlines,Nov-13,253,251,2,199,170,52,81,2013,11
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Nov-13,77,77,0,61,60,16,17,2013,11
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Nov-13,426,416,10,330,330,86,86,2013,11
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Nov-13,1348,1307,41,1040,984,267,323,2013,11
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Nov-13,328,326,2,260,233,66,93,2013,11
Broome-Perth,Broome,Perth,All Airlines,Nov-13,129,128,1,109,110,19,18,2013,11
Bundaberg-Brisbane,Bundaberg,Brisbane,All Airlines,Nov-13,146,144,2,111,100,33,44,2013,11
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Nov-13,366,363,3,297,288,66,75,2013,11
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Nov-13,176,176,0,128,129,48,47,2013,11
Cairns-Sydney,Cairns,Sydney,All Airlines,Nov-13,235,234,1,187,196,47,38,2013,11
Cairns-Townsville,Cairns,Townsville,All Airlines,Nov-13,206,201,5,180,177,21,24,2013,11
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Nov-13,94,94,0,82,83,12,11,2013,11
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Nov-13,272,252,20,208,203,44,49,2013,11
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Nov-13,467,452,15,385,375,67,77,2013,11
Canberra-Sydney,Canberra,Sydney,All Airlines,Nov-13,854,822,32,687,666,135,156,2013,11
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Nov-13,235,229,6,156,160,73,69,2013,11
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Nov-13,62,60,2,40,45,20,15,2013,11
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Nov-13,83,82,1,65,71,17,11,2013,11
Darwin-Perth,Darwin,Perth,All Airlines,Nov-13,55,55,0,50,50,5,5,2013,11
Darwin-Sydney,Darwin,Sydney,All Airlines,Nov-13,108,107,1,81,81,26,26,2013,11
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Nov-13,279,276,3,210,183,66,93,2013,11
Emerald-Brisbane,Emerald,Brisbane,All Airlines,Nov-13,274,259,15,172,176,87,83,2013,11
Geraldton-Perth,Geraldton,Perth,All Airlines,Nov-13,154,153,1,144,143,9,10,2013,11
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,Nov-13,371,359,12,278,252,81,107,2013,11
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Nov-13,60,60,0,50,48,10,12,2013,11
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Nov-13,433,431,2,321,305,110,126,2013,11
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Nov-13,755,731,24,533,512,198,219,2013,11
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Nov-13,48,48,0,38,38,10,10,2013,11
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Nov-13,60,60,0,43,41,17,19,2013,11
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Nov-13,434,433,1,331,322,102,111,2013,11
Hobart-Sydney,Hobart,Sydney,All Airlines,Nov-13,162,161,1,113,123,48,38,2013,11
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Nov-13,142,142,0,135,134,7,8,2013,11
Karratha-Perth,Karratha,Perth,All Airlines,Nov-13,339,330,9,314,311,16,19,2013,11
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Nov-13,377,372,5,288,269,84,103,2013,11
Launceston-Sydney,Launceston,Sydney,All Airlines,Nov-13,89,87,2,62,58,25,29,2013,11
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Nov-13,355,343,12,248,242,95,101,2013,11
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Nov-13,712,712,0,615,602,97,110,2013,11
Melbourne-Alice Springs,Melbourne,Alice Springs,All Airlines,Nov-13,47,47,0,40,39,7,8,2013,11
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Nov-13,1017,1009,8,788,705,221,304,2013,11
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Nov-13,176,176,0,138,140,38,36,2013,11
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Nov-13,467,453,14,392,380,61,73,2013,11
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Nov-13,83,82,1,74,64,8,18,2013,11
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Nov-13,434,431,3,309,310,122,121,2013,11
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Nov-13,434,433,1,333,335,100,98,2013,11
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Nov-13,376,372,4,283,275,89,97,2013,11
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Nov-13,199,199,0,174,169,25,30,2013,11
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Nov-13,133,133,0,98,96,35,37,2013,11
Melbourne-Perth,Melbourne,Perth,All Airlines,Nov-13,472,469,3,387,398,82,71,2013,11
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Nov-13,118,117,1,98,99,19,18,2013,11
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Nov-13,2150,2114,36,1733,1587,381,527,2013,11
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Nov-13,199,199,0,170,167,29,32,2013,11
Moranbah-Brisbane,Moranbah,Brisbane,All Airlines,Nov-13,218,204,14,154,132,50,72,2013,11
Mount Isa-Brisbane,Mount Isa,Brisbane,All Airlines,Nov-13,76,76,0,63,65,13,11,2013,11
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Nov-13,266,258,8,164,155,94,103,2013,11
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Nov-13,133,133,0,81,77,52,56,2013,11
Newman-Perth,Newman,Perth,All Airlines,Nov-13,206,196,10,183,182,13,14,2013,11
Perth-Adelaide,Perth,Adelaide,All Airlines,Nov-13,208,208,0,192,199,16,9,2013,11
Perth-Brisbane,Perth,Brisbane,All Airlines,Nov-13,253,253,0,220,223,33,30,2013,11
Perth-Broome,Perth,Broome,All Airlines,Nov-13,128,127,1,119,120,8,7,2013,11
Perth-Darwin,Perth,Darwin,All Airlines,Nov-13,55,55,0,52,52,3,3,2013,11
Perth-Geraldton,Perth,Geraldton,All Airlines,Nov-13,149,149,0,141,138,8,11,2013,11
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Nov-13,144,144,0,136,136,8,8,2013,11
Perth-Karratha,Perth,Karratha,All Airlines,Nov-13,339,331,8,317,320,14,11,2013,11
Perth-Melbourne,Perth,Melbourne,All Airlines,Nov-13,475,469,6,395,396,74,73,2013,11
Perth-Newman,Perth,Newman,All Airlines,Nov-13,206,199,7,187,186,12,13,2013,11
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Nov-13,216,212,4,204,206,8,6,2013,11
Perth-Sydney,Perth,Sydney,All Airlines,Nov-13,348,346,2,302,309,44,37,2013,11
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Nov-13,216,213,3,198,199,15,14,2013,11
Port Lincoln-Adelaide,Port Lincoln,Adelaide,All Airlines,Nov-13,304,303,1,288,287,15,16,2013,11
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Nov-13,192,188,4,119,104,69,84,2013,11
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Nov-13,77,76,1,54,50,22,26,2013,11
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Nov-13,405,394,11,309,280,85,114,2013,11
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Nov-13,119,118,1,79,85,39,33,2013,11
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Nov-13,136,134,2,98,93,36,41,2013,11
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Nov-13,506,502,4,417,410,85,92,2013,11
Sydney-Albury,Sydney,Albury,All Airlines,Nov-13,282,282,0,214,213,68,69,2013,11
Sydney-Alice Springs,Sydney,Alice Springs,All Airlines,Nov-13,47,47,0,40,40,7,7,2013,11
Sydney-Ayers Rock,Sydney,Ayers Rock,All Airlines,Nov-13,47,46,1,37,38,9,8,2013,11
Sydney-Ballina,Sydney,Ballina,All Airlines,Nov-13,113,112,1,82,84,30,28,2013,11
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Nov-13,1320,1280,40,1008,897,272,383,2013,11
Sydney-Cairns,Sydney,Cairns,All Airlines,Nov-13,234,233,1,183,179,50,54,2013,11
Sydney-Canberra,Sydney,Canberra,All Airlines,Nov-13,854,824,30,658,678,166,146,2013,11
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Nov-13,235,229,6,179,160,50,69,2013,11
Sydney-Darwin,Sydney,Darwin,All Airlines,Nov-13,107,106,1,81,73,25,33,2013,11
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Nov-13,272,271,1,214,195,57,76,2013,11
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Nov-13,758,733,25,562,536,171,197,2013,11
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Nov-13,59,59,0,47,50,12,9,2013,11
Sydney-Hobart,Sydney,Hobart,All Airlines,Nov-13,162,161,1,127,128,34,33,2013,11
Sydney-Launceston,Sydney,Launceston,All Airlines,Nov-13,89,88,1,71,69,17,19,2013,11
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Nov-13,2148,2110,38,1668,1659,442,451,2013,11
Sydney-Perth,Sydney,Perth,All Airlines,Nov-13,351,350,1,279,288,71,62,2013,11
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Nov-13,192,188,4,135,116,53,72,2013,11
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Nov-13,137,136,1,112,112,24,24,2013,11
Sydney-Townsville,Sydney,Townsville,All Airlines,Nov-13,50,50,0,41,34,9,16,2013,11
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Nov-13,245,244,1,202,192,42,52,2013,11
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Nov-13,328,326,2,245,251,81,75,2013,11
Townsville-Cairns,Townsville,Cairns,All Airlines,Nov-13,208,199,9,159,162,40,37,2013,11
Townsville-Sydney,Townsville,Sydney,All Airlines,Nov-13,50,49,1,31,34,18,15,2013,11
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Nov-13,247,246,1,195,183,51,63,2013,11
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Dec-13,251,250,1,217,222,33,28,2013,12
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Dec-13,89,89,0,76,81,13,8,2013,12
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Dec-13,72,71,1,60,65,11,6,2013,12
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Dec-13,723,716,7,590,609,126,107,2013,12
Adelaide-Perth,Adelaide,Perth,All Airlines,Dec-13,217,217,0,182,173,35,44,2013,12
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Dec-13,283,278,5,255,253,23,25,2013,12
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Dec-13,557,546,11,440,473,106,73,2013,12
Albury-Sydney,Albury,Sydney,All Airlines,Dec-13,269,269,0,217,208,52,61,2013,12
Alice Springs-Melbourne,Alice Springs,Melbourne,All Airlines,Dec-13,48,48,0,35,38,13,10,2013,12
Alice Springs-Sydney,Alice Springs,Sydney,All Airlines,Dec-13,48,48,0,29,37,19,11,2013,12
Ayers Rock-Sydney,Ayers Rock,Sydney,All Airlines,Dec-13,49,48,1,40,41,8,7,2013,12
Ballina-Sydney,Ballina,Sydney,All Airlines,Dec-13,134,133,1,105,100,28,33,2013,12
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Dec-13,251,250,1,199,186,51,64,2013,12
Brisbane-Bundaberg,Brisbane,Bundaberg,All Airlines,Dec-13,148,147,1,116,119,31,28,2013,12
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Dec-13,401,399,2,330,338,69,61,2013,12
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Dec-13,258,257,1,211,203,46,54,2013,12
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Dec-13,67,67,0,57,60,10,7,2013,12
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Dec-13,257,249,8,220,188,29,61,2013,12
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Dec-13,343,340,3,282,278,58,62,2013,12
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Dec-13,49,49,0,46,48,3,1,2013,12
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Dec-13,353,352,1,278,293,74,59,2013,12
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Dec-13,1041,1026,15,816,743,210,283,2013,12
Brisbane-Moranbah,Brisbane,Moranbah,All Airlines,Dec-13,210,192,18,164,163,28,29,2013,12
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Dec-13,77,77,0,68,67,9,10,2013,12
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Dec-13,269,265,4,220,202,45,63,2013,12
Brisbane-Perth,Brisbane,Perth,All Airlines,Dec-13,258,256,2,192,174,64,82,2013,12
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Dec-13,82,82,0,70,74,12,8,2013,12
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Dec-13,413,409,4,330,342,79,67,2013,12
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Dec-13,1369,1338,31,1098,1076,240,262,2013,12
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Dec-13,340,338,2,273,272,65,66,2013,12
Broome-Perth,Broome,Perth,All Airlines,Dec-13,134,130,4,104,107,26,23,2013,12
Bundaberg-Brisbane,Bundaberg,Brisbane,All Airlines,Dec-13,148,148,0,121,109,27,39,2013,12
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Dec-13,399,396,3,358,341,38,55,2013,12
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Dec-13,190,190,0,155,147,35,43,2013,12
Cairns-Sydney,Cairns,Sydney,All Airlines,Dec-13,263,261,2,234,233,27,28,2013,12
Cairns-Townsville,Cairns,Townsville,All Airlines,Dec-13,196,192,4,184,181,8,11,2013,12
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Dec-13,89,89,0,73,72,16,17,2013,12
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Dec-13,259,258,1,203,219,55,39,2013,12
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Dec-13,437,432,5,360,349,72,83,2013,12
Canberra-Sydney,Canberra,Sydney,All Airlines,Dec-13,780,753,27,675,680,78,73,2013,12
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Dec-13,245,242,3,199,206,43,36,2013,12
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Dec-13,67,67,0,51,54,16,13,2013,12
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Dec-13,86,86,0,70,80,16,6,2013,12
Darwin-Perth,Darwin,Perth,All Airlines,Dec-13,57,57,0,53,54,4,3,2013,12
Darwin-Sydney,Darwin,Sydney,All Airlines,Dec-13,109,109,0,86,84,23,25,2013,12
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Dec-13,235,233,2,200,185,33,48,2013,12
Emerald-Brisbane,Emerald,Brisbane,All Airlines,Dec-13,257,248,9,188,188,60,60,2013,12
Geraldton-Perth,Geraldton,Perth,All Airlines,Dec-13,155,152,3,143,147,9,5,2013,12
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,Dec-13,364,360,4,289,275,71,85,2013,12
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Dec-13,73,72,1,66,62,6,10,2013,12
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Dec-13,501,495,6,381,359,114,136,2013,12
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Dec-13,864,827,37,674,686,153,141,2013,12
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Dec-13,49,49,0,46,45,3,4,2013,12
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Dec-13,62,62,0,50,50,12,12,2013,12
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Dec-13,484,481,3,360,357,121,124,2013,12
Hobart-Sydney,Hobart,Sydney,All Airlines,Dec-13,208,206,2,147,170,59,36,2013,12
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Dec-13,148,147,1,136,135,11,12,2013,12
Karratha-Perth,Karratha,Perth,All Airlines,Dec-13,339,299,40,277,281,22,18,2013,12
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Dec-13,408,403,5,308,296,95,107,2013,12
Launceston-Sydney,Launceston,Sydney,All Airlines,Dec-13,118,118,0,85,92,33,26,2013,12
Mackay-Brisbane,Mackay,Brisbane,All Airlines,Dec-13,352,351,1,285,281,66,70,2013,12
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Dec-13,723,718,5,607,581,111,137,2013,12
Melbourne-Alice Springs,Melbourne,Alice Springs,All Airlines,Dec-13,48,48,0,40,39,8,9,2013,12
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Dec-13,1041,1025,16,784,769,241,256,2013,12
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Dec-13,192,192,0,159,164,33,28,2013,12
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Dec-13,437,427,10,354,353,73,74,2013,12
Melbourne-Darwin,Melbourne,Darwin,All Airlines,Dec-13,87,87,0,77,75,10,12,2013,12
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Dec-13,500,494,6,368,376,126,118,2013,12
Melbourne-Hobart,Melbourne,Hobart,All Airlines,Dec-13,484,481,3,363,381,118,100,2013,12
Melbourne-Launceston,Melbourne,Launceston,All Airlines,Dec-13,406,401,5,291,301,110,100,2013,12
Melbourne-Mildura,Melbourne,Mildura,All Airlines,Dec-13,193,193,0,164,157,29,36,2013,12
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,Dec-13,139,137,2,106,109,31,28,2013,12
Melbourne-Perth,Melbourne,Perth,All Airlines,Dec-13,507,497,10,395,367,102,130,2013,12
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,Dec-13,139,137,2,119,117,18,20,2013,12
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Dec-13,2134,2074,60,1728,1767,346,307,2013,12
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Dec-13,194,194,0,169,163,25,31,2013,12
Moranbah-Brisbane,Moranbah,Brisbane,All Airlines,Dec-13,201,185,16,152,138,33,47,2013,12
Mount Isa-Brisbane,Mount Isa,Brisbane,All Airlines,Dec-13,77,77,0,65,67,12,10,2013,12
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Dec-13,266,262,4,183,176,79,86,2013,12
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Dec-13,138,137,1,92,91,45,46,2013,12
Newman-Perth,Newman,Perth,All Airlines,Dec-13,210,197,13,186,182,11,15,2013,12
Perth-Adelaide,Perth,Adelaide,All Airlines,Dec-13,219,219,0,201,204,18,15,2013,12
Perth-Brisbane,Perth,Brisbane,All Airlines,Dec-13,257,257,0,210,214,47,43,2013,12
Perth-Broome,Perth,Broome,All Airlines,Dec-13,133,130,3,125,124,5,6,2013,12
Perth-Darwin,Perth,Darwin,All Airlines,Dec-13,57,57,0,53,53,4,4,2013,12
Perth-Geraldton,Perth,Geraldton,All Airlines,Dec-13,152,150,2,141,136,9,14,2013,12
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Dec-13,146,146,0,135,134,11,12,2013,12
Perth-Karratha,Perth,Karratha,All Airlines,Dec-13,339,300,39,281,283,19,17,2013,12
Perth-Melbourne,Perth,Melbourne,All Airlines,Dec-13,507,497,10,387,402,110,95,2013,12
Perth-Newman,Perth,Newman,All Airlines,Dec-13,210,198,12,188,187,10,11,2013,12
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Dec-13,210,196,14,186,186,10,10,2013,12
