,Year,Flights Flown,Month,Price,KM
154,2015,284,7,230.5759259,1622
155,2016,286,7,217.3948812,1622
156,2017,284,7,213.491921,1622
157,2018,293,7,220.5119824,1622
158,2019,276,7,218.0936742,1622
159,2020,61,7,562.2487091,1622
160,2021,107,7,254.7886383,1622
161,2022,228,7,292.0031153,1622
162,2023,355,7,390.8514412,1622
163,2010,243,6,169.3987474,1622
164,2011,197,6,476.6754032,1622
165,2012,214,6,415.2410359,1622
166,2013,232,6,351.1108949,1622
167,2014,255,6,364.611898,1622
168,2015,261,6,231.6483721,1622
169,2016,251,6,231.878453,1622
170,2017,258,6,240.1174345,1622
171,2018,263,6,271.009823,1622
172,2019,258,6,258.2300523,1622
173,2021,224,6,380.3678451,1622
174,2022,247,6,439.3370341,1622
175,2023,340,6,416.4562453,1622
176,2010,221,3,349.75,1622
177,2011,230,3,424.1119023,1622
178,2012,244,3,459.3313313,1622
179,2013,256,3,448.1171875,1622
180,2014,267,3,411.4705882,1622
181,2015,279,3,246.2659176,1622
182,2016,294,3,199.1182994,1622
183,2017,295,3,339.3049774,1622
184,2018,286,3,447.1581705,1622
185,2019,273,3,259.8142857,1622
186,2020,190,3,460.7341338,1622
187,2021,219,3,334.6208651,1622
188,2022,194,3,359.0653753,1622
189,2023,311,3,508.5354449,1622
190,2010,254,5,140.1920668,1622
191,2011,223,5,349.75,1622
192,2012,224,5,345.5697211,1622
193,2013,246,5,296.6750973,1622
194,2014,266,5,287.9905571,1622
195,2015,265,5,195.2093023,1622
196,2016,265,5,244.7605893,1622
197,2017,271,5,227.4796748,1622
198,2018,262,5,245.010708,1622
199,2019,272,5,219.2335366,1622
200,2021,232,5,380.3678451,1622
201,2022,240,5,325.0650278,1622
202,2023,352,5,416.4562453,1622
203,2010,233,11,343.6140351,1622
204,2011,222,11,473.8096192,1622
205,2012,251,11,408.727451,1622
206,2013,244,11,397.8072519,1622
207,2014,263,11,233.6041276,1622
208,2015,291,11,258.1180812,1622
209,2016,291,11,200.9472727,1622
210,2017,291,11,234.6226583,1622
211,2018,271,11,341.9641543,1622
212,2019,265,11,279.1980207,1622
213,2020,112,11,434.5017065,1622
214,2021,210,11,190.3009068,1622
215,2022,279,11,575.4296636,1622
216,2023,331,11,326.8787656,1622
217,2010,257,10,213.5315789,1622
218,2011,225,10,468.2024048,1622
219,2012,257,10,403.2411765,1622
220,2013,253,10,317.7118321,1622
221,2014,283,10,272.9756098,1622
222,2015,281,10,268.4428044,1622
223,2016,293,10,241.6454545,1622
224,2017,297,10,249.5985727,1622
225,2018,294,10,291.6933392,1622
226,2019,286,10,293.645525,1622
227,2020,166,10,439.2764505,1622
228,2021,185,10,258.3478978,1622
229,2022,247,10,527.2989297,1622
230,2023,340,10,326.8787656,1622
231,2010,252,9,286.9037306,1622
232,2011,225,9,628.008016,1622
233,2012,254,9,472.7465619,1622
234,2013,238,9,490.9951923,1622
235,2014,269,9,286.637218,1622
236,2015,270,9,380.8388889,1622
237,2016,280,9,358.0621572,1622
238,2017,281,9,376.7504488,1622
239,2018,274,9,500.3119824,1622
240,2019,273,9,426.6101386,1622
241,2020,114,9,358.7796902,1622
242,2021,147,9,328.4202172,1622
243,2022,218,9,957.7266355,1622
244,2023,339,9,421.8713969,1622
245,2010,78,4,327.1148225,972
246,2011,71,4,479.4959677,972
247,2012,76,4,404.0936255,972
248,2013,90,4,577.0194553,972
249,2014,89,4,499.3597734,972
250,2015,69,4,504.9413953,972
251,2016,72,4,590.0018416,972
252,2017,62,4,597.7660343,972
253,2018,64,4,609.1221239,972
254,2019,75,4,634.0711585,972
255,2021,49,4,461.6228956,972
256,2022,74,4,510.3409992,972
